gen,idx,total_index,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M,cost
23,25,1226,3.530099e-07,1,6,6.233346e-06,7.094304e-06,5,6.907803e-06,4.030212e-05,1,3,2.481895e-07,6.557747e-06,8,1,0.8279092,2.742837e-07,2,6,7.380168e-06,5.123854e+09,0.003583084,1.54929,0.7746449,-76.42743,-104.7413,-165.0768,-173.3907,0.001101644
23,26,1227,4.033499e-07,1,6,6.43729e-06,8.15475e-06,5,6.43345e-06,3.233725e-05,1,3,2.066159e-07,5.504699e-06,6,2,0.8088688,1.998519e-07,3,7,6.873491e-06,5.382209e+09,0.003165447,1.258183,0.6290916,-72.80874,-101.2133,-162.4236,-170.8282,0.00306198
23,27,1228,3.649963e-07,1,6,6.136474e-06,7.877749e-06,6,6.053653e-06,3.393104e-05,1,3,1.8e-07,6.053488e-06,7,2,0.8369231,2.305939e-07,3,7,7.159628e-06,4.944915e+09,0.003759263,1.319125,0.6595627,-72.81886,-101.3205,-160.951,-169.4527,0.0
23,28,1229,3.764795e-07,1,6,5.799035e-06,7.469157e-06,5,6.69279e-06,3.64878e-05,1,3,1.8e-07,6.446625e-06,7,1,0.8152805,2.318157e-07,3,7,6.863469e-06,5.17153e+09,0.003095252,1.31366,0.6568302,-72.24545,-100.7252,-161.6109,-170.0906,0.0001967148
23,29,1230,3.522271e-07,1,6,5.945778e-06,7.578719e-06,6,6.280317e-06,3.61613e-05,1,3,1.8e-07,6.308049e-06,7,1,0.8105418,2.594512e-07,4,6,7.107621e-06,4.880852e+09,0.003280555,1.271885,0.6359425,-71.6596,-100.2099,-160.27,-168.8204,1.52702e-05
23,30,1231,3.427054e-07,1,6,6.234362e-06,7.323372e-06,4,6.455416e-06,3.822431e-05,1,3,2.730582e-07,6.177359e-06,6,1,0.8103717,2.396395e-07,3,7,7.041097e-06,5.193438e+09,0.003325901,1.44525,0.722625,-73.11411,-101.5361,-162.2041,-170.6261,0.0003356658
23,31,1232,3.559054e-07,1,8,6.467708e-06,8.413978e-06,6,6.386884e-06,3.562588e-05,1,3,2.979699e-07,6.879472e-06,8,1,0.8794112,2.653777e-07,3,7,7.450099e-06,4.534481e+09,0.005314924,1.574333,0.7871667,-85.04408,-112.383,-170.9197,-178.2586,0.00802027
23,32,1233,4.094763e-07,1,5,6.104461e-06,8.16052e-06,6,6.472962e-06,3.501068e-05,1,3,1.83403e-07,6.831931e-06,8,1,0.8572839,2.384887e-07,4,6,7.350395e-06,4.844191e+09,0.003070444,1.185671,0.5928353,-72.98827,-101.4326,-161.8207,-170.265,0.0001297233
23,33,1234,4.085374e-07,2,6,6.879794e-06,8.042165e-06,5,6.61837e-06,3.242506e-05,1,3,2.616485e-07,5.773615e-06,7,1,0.8392097,2.698371e-07,3,7,7.074732e-06,5.084326e+09,0.005598299,1.611804,0.8059019,-88.4158,-114.3158,-175.0599,-180.9599,0.0055556
23,34,1235,3.85574e-07,1,6,6.504892e-06,7.346532e-06,5,6.657574e-06,3.579459e-05,1,3,2.106654e-07,6.764553e-06,7,1,0.8816938,3.114257e-07,3,7,7.721262e-06,4.827398e+09,0.004316941,1.464449,0.7322245,-75.01153,-103.4081,-162.334,-170.7306,0.000219535
23,35,1236,3.727431e-07,1,7,6.179806e-06,7.558662e-06,5,6.440886e-06,3.47747e-05,1,3,3.197522e-07,6.159663e-06,7,1,0.8304377,2.917926e-07,3,8,7.15651e-06,4.880674e+09,0.003730573,1.346378,0.6731892,-74.80732,-103.0707,-162.8592,-171.1226,1.555524e-05
