cornerNo,proc,VDD,TEMP,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M
52,sf,1.8,0.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.079242e+09,0.009032001,1.409463,0.7047315,-94.55703,-119.1155,-179.1152,-183.6737
53,sf,1.8,27.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.085359e+09,0.008796116,1.307567,0.6537834,-94.38153,-118.627,-179.0651,-183.3105
54,sf,1.8,70.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.093453e+09,0.008454276,1.143489,0.5717447,-93.80071,-117.4057,-178.6702,-182.2752
55,sf,1.8,85,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.095716e+09,0.008342534,1.086161,0.5430805,-93.58678,-116.9767,-178.5179,-181.9079
56,sf,1.98,-40,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.046213e+09,0.01241028,1.671197,0.8355986,-90.95163,-117.615,-174.0731,-180.7365
57,sf,1.98,0.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.05881e+09,0.0120067,1.521771,0.7608853,-90.94925,-117.2138,-174.236,-180.5005
58,sf,1.98,27.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.064758e+09,0.01172081,1.421463,0.7107314,-91.45062,-117.2328,-174.8522,-180.6344
59,sf,1.98,70.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.071795e+09,0.01124744,1.261605,0.6308024,-92.45443,-117.1495,-176.0471,-180.7422
60,sf,1.98,85,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.073776e+09,0.01108784,1.205542,0.602771,-92.56297,-116.8171,-176.2211,-180.4753
61,fs,1.62,-40,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.107341e+09,0.006193558,1.480836,0.7404182,-97.52123,-121.169,-183.7657,-187.4135
62,fs,1.62,0.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.114183e+09,0.006146742,1.351369,0.6756846,-96.0425,-119.8298,-182.3316,-186.1189
