gen,idx,total_index,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M,cost
27,12,1363,2.038028e-07,4,5,7.520113e-06,6.116696e-06,9,9.315699e-06,4.776834e-05,1,3,5e-07,5e-06,7,2,0.8552511,4.500295e-07,1,7,6.10796e-06,3.786977e+09,0.004566375,1.602016,0.8010079,-97.91074,-120.6485,-182.8809,-185.6187,0.05622147
27,13,1364,1.8e-07,1,8,9.908284e-06,1e-05,10,1e-05,3e-05,1,1,3.537282e-07,6.643642e-06,6,3,1.153416,5e-07,3,7,5e-06,7.221839e+09,0.01012378,0.9305897,0.4652948,-91.31426,-115.8257,-178.4338,-182.9452,0.1732482
27,14,1365,4.278239e-07,1,5,5e-06,5e-06,6,8.932316e-06,5e-05,1,2,5e-07,5.434278e-06,5,2,1.2,2.981718e-07,3,10,9.502175e-06,4.89537e+09,0.003780025,1.079545,0.5397723,-80.42469,-107.3153,-168.4454,-175.3361,8.926545e-07
27,15,1366,1.8e-07,1,5,8.819145e-06,6.533137e-06,10,6.996205e-06,4.032897e-05,1,3,5e-07,7.038179e-06,7,1,0.9508323,5e-07,1,6,8.288794e-06,4.349022e+09,0.003435784,1.395547,0.6977734,-94.17071,-118.1964,-181.5783,-185.604,0.01264375
27,16,1367,5e-07,3,8,5e-06,6.494583e-06,10,8.992442e-06,4.446536e-05,1,1,5e-07,7.391769e-06,5,1,1.041519,1.8e-07,5,10,8.333503e-06,7.117696e+09,0.004379573,0.4346092,0.2173046,-89.8169,-111.1592,-180.4494,-181.7917,0.1736242
27,17,1368,5e-07,2,7,8.142903e-06,5.20981e-06,10,7.51432e-06,5e-05,1,2,4.748592e-07,9.259139e-06,5,1,1.027664,2.670438e-07,5,9,5e-06,4.810675e+09,0.004889484,1.225372,0.612686,-87.29066,-113.3321,-174.0422,-180.0836,0.0003323155
27,18,1369,3.842594e-07,1,6,5e-06,5.925169e-06,5,5e-06,3.350356e-05,1,3,3.794907e-07,9.232412e-06,5,1,0.75,3.511471e-07,4,6,1e-05,5.289865e+09,0.001829867,0.8737417,0.4368708,-67.32414,-95.78643,-159.1688,-167.6311,17.75553
27,19,1370,1.8e-07,2,8,1e-05,9.943981e-06,7,5e-06,3.738139e-05,1,2,4.345681e-07,7.0515e-06,10,1,1.086612,3.30348e-07,3,5,1e-05,5.750993e+09,0.007779907,1.490894,0.745447,-89.89737,-115.3141,-176.1825,-181.5992,0.01629341
27,20,1371,2.126735e-07,3,9,6.91564e-06,7.35992e-06,5,8.165977e-06,4.511164e-05,1,3,4.443732e-07,8.197899e-06,7,1,1.2,4.270621e-07,2,5,8.654691e-06,4.25892e+09,0.005601326,1.692815,0.8464074,-93.66501,-117.5602,-178.7681,-182.6633,0.03364055
27,21,1372,2.694537e-07,1,8,7.832338e-06,9.525979e-06,8,7.240243e-06,3e-05,1,3,3.508991e-07,6.019147e-06,10,3,0.8439507,3.75518e-07,4,6,7.706506e-06,3.691481e+09,0.00795376,1.461154,0.7305772,-76.92134,-105.5946,-159.2596,-167.9329,0.06082955
27,22,1373,3.207316e-07,1,5,9.34187e-06,1e-05,7,5e-06,3.573648e-05,1,3,4.721047e-07,9.345087e-06,9,4,0.75,3.560115e-07,4,5,1e-05,3.433113e+09,0.003474609,0.914498,0.457249,-71.60215,-100.2009,-156.9068,-165.5056,0.08961922
27,23,1374,3.89264e-07,1,9,1e-05,8.167551e-06,7,9.674458e-06,3e-05,1,2,5e-07,1e-05,9,2,1.013626,1.948155e-07,5,5,7.057971e-06,5.13613e+09,0.01055266,1.484214,0.7421072,-90.49969,-116.5712,-174.4788,-180.5503,0.003104495
27,24,1375,4.455803e-07,2,8,5.646164e-06,9.34751e-06,6,6.286769e-06,5e-05,1,2,5e-07,5.366267e-06,5,1,1.2,4.483284e-07,3,8,7.102637e-06,5.336003e+09,0.002837713,0.901115,0.4505575,-81.45151,-108.017,-171.4661,-178.0317,0.002141377
27,25,1376,2.770481e-07,2,6,5e-06,9.20219e-06,8,9.69713e-06,4.589164e-05,1,2,3.857212e-07,6.805139e-06,10,2,1.004081,5e-07,2,8,5e-06,4.42024e+09,0.00756001,1.509252,0.754626,-93.16414,-118.7655,-177.2878,-182.8892,0.009624442
27,26,1377,3.939111e-07,3,10,5e-06,1e-05,10,8.455199e-06,4.565094e-05,1,1,3.270705e-07,8.337389e-06,6,5,0.9531111,4.061699e-07,3,5,5e-06,6.266512e+09,0.01243646,1.299221,0.6496104,-92.3302,-117.3141,-177.3238,-182.3076,0.1116799
27,27,1378,4.087875e-07,1,5,6.5e-06,9.770194e-06,3,5.82599e-06,4.4e-05,1,2,3.100123e-07,7.00398e-06,5,3,1.052166,4.851845e-07,2,7,5e-06,6.585515e+09,0.004827188,1.560426,0.780213,-80.94473,-108.4386,-170.4796,-177.9734,0.08646532
